Frame,Rz,Ry,Rx,Tx,Ty,Tz,Tz
2216566,7.9251049,6.843788,98.3979968,-1.259,-42.507,-92.64,-3.70E+28
2216574,7.8433388,6.7664859,98.4536827,-1.29,-42.464,-92.606,-3.70E+28
2216582,7.8308852,6.7574357,98.4393721,-1.289,-42.461,-92.576,-3.70E+28
2216590,7.8908521,6.8094617,98.43739,-1.256,-42.482,-92.653,-3.70E+28
2216598,7.9113869,6.826049,98.4469413,-1.257,-42.495,-92.684,-3.70E+28
2216606,7.8752695,6.7947243,98.4480855,-1.29,-42.484,-92.64,-3.70E+28
2216614,7.8431599,6.7689259,98.4319055,-1.286,-42.479,-92.578,-3.70E+28
2216622,7.8572966,6.7817079,98.4271152,-1.261,-42.477,-92.584,-3.70E+28
2216630,7.8782696,6.796133,98.4579636,-1.29,-42.435,-92.607,-3.70E+28
2216638,7.8644734,6.7911087,98.4003269,-1.374,-42.447,-92.408,-3.70E+28
2216646,7.8352527,6.7425015,98.5967232,-1.364,-42.409,-92.71,-3.70E+28
2216654,7.9130233,6.7542604,99.0587983,-1.281,-42.337,-93.186,-3.70E+28
2216662,8.078849,6.8369675,99.545489,-1.213,-42.261,-93.788,-3.70E+28
2216670,8.2112659,6.9200263,99.7831817,-1.183,-42.281,-94.158,-3.70E+28
2216678,8.1504789,6.8630598,99.8300661,-1.209,-42.278,-94.137,-3.70E+28
2216686,8.0979225,6.8200307,99.8195381,-1.221,-42.256,-94.056,-3.70E+28
2216694,8.1333676,6.8515972,99.8056123,-1.171,-42.27,-94.073,-3.70E+28
2216702,8.1801122,6.891419,99.8022857,-1.162,-42.294,-94.126,-3.70E+28
2216710,8.1633861,6.8757811,99.8149018,-1.204,-42.289,-94.131,-3.70E+28
2216718,8.1246504,6.843336,99.8131434,-1.222,-42.277,-94.088,-3.70E+28
2216726,8.1024699,6.8225064,99.8307991,-1.269,-42.235,-94.118,-3.70E+28
2216734,8.1019999,6.8293773,99.7705471,-1.299,-42.213,-93.833,-3.70E+28
2216742,8.1928256,6.8819321,99.9681878,-1.306,-42.197,-94.128,-3.70E+28
2216750,8.3162682,6.9242859,100.4675661,-1.232,-42.147,-94.746,-3.70E+28
2216758,8.3314517,6.8709556,101.0069022,-1.196,-42.018,-95.312,-3.70E+28
2216766,8.3887678,6.897119,101.179545,-1.101,-41.989,-95.445,-3.70E+28
2216774,8.4916581,6.9741728,101.2412401,-1.067,-42.021,-95.672,-3.70E+28
